Bin Name,Item Code,UOM,Inv Description,Manufacturer
B-14-H,,,,
B-15-G,,,,
B-15-H,,,,
B-16-G,,,,
B-16-H,,,,
B-17-H,,,,
B-18-G,,,,
B-18-H,,,,
B-19-G,,,,
B-19-H,,,,
B-20-G,,,,
B-20-H,,,,
B-21-G,,,,
B-21-H,,,,
B-22-G,,,,
B-22-H,,,,
B-23-H,,,,
B-24-G,,,,
B-24-H,,,,
B-25-H,,,,
B-26-G,,,,
B-26-H,,,,
B-27-G,,,,
B-27-H,,,,
B-28-G,,,,
B-28-H,,,,
B-29-G,,,,
B-29-H,,,,
B-30-G,,,,
B-30-H,,,,
B-31-G,,,,
B-31-H,OMN M551/AZ,EA,SILVER DIAMONDS,PPG INDUSTRIES
B-32-H,,,,
B-33-G,,,,
B-33-H,,,,
B-34-G,,,,
B-34-H,,,,
B-35-G,OMN M599/01,GAL,BASECOAT CONVERTER,PPG INDUSTRIES
B-35-H,,,,
B-36-G,,,,
B-36-H,,,,
B-37-G,,,,
B-37-H,,,,
B-39-H,,,,
B-40-H,,,,
B-41-H,,,,
B-42-H,,,,
B-43-H,,,,
B-44-H,,,,
B-45-G,PPS 51271,BX,"6"" P400 VELCRO ",PALMETTO PAINT SPECIALTIES 
B-45-H,,,,
B-46-H,,,,
B-47-A,,,,
B-47-B,SEM SD30000,EA,SEM Spigot for 5Gal/ Carboy,SEM
B-47-B,SEM SD30132,EA,SEM Performance Wheel Cleaner-1 QT BOTTLE,SEM
B-47-B,SEM SD30232,EA,SEM Premium Body Shop Safe Dressing-1QT BOTTLE,SEM
B-47-B,SEM SD30332,EA,SEM Performance All Purpose Degreaser -1 QT BOTTLE,SEM
B-47-B,SEM SD30632,EA,SEM Premium Glass Cleaner- 1QT BOTTLE,SEM
B-47-B,SEM SD30732,QT,INSTANT DETAILER 1QT,SEM
B-47-B,SEM SD30800,EA,SEM Applicator Bottle- 1 ,SEM
B-47-B,SEM SD30900,PK,"SEM Ultra Microfiber, 16in x 16in, 5/Pack",SEM
B-47-C,SEM SA4947,PK,SEM4.5in x 9in Scuff Pad Maroon 25/Pack,SEM
B-47-C,SEM SA4948,PK,SEM 4.5in x 9in Scuff Pad Grey 25/Pack,SEM
B-47-D,SEM SA22080,RL,"SEM 2.75""x20yds PSA 80, 1Roll",SEM
B-47-D,SEM SA22120,RL,"SEM 2.75""x40yds PSA 120, 1Roll",SEM
B-47-D,SEM SA22180,RL,"SEM 2.75""x40yds PSA 180, 1Roll",SEM
B-47-D,SEM SA22220,RL,"SEM 2.75""x40yds PSA 220, 1Roll",SEM
B-47-D,SEM SA22240,RL,"SEM 2.75""x40yds PSA 240, 1Roll",SEM
B-47-D,SEM SA22320,RL,"SEM 2.75""x40yds PSA 320, 1Roll",SEM
B-47-D,SEM SA22400,RL,"SEM 2.75""x40yds PSA 400, 1Roll",SEM
B-47-E,SEM 46670,KT,ROCK-IT XC TINTABLE KIT,SEM
B-47-E,SEM 56650,KT,GLADIATOR XC BLACK BEDLINER KIT,SEM
B-47-E,SEM SD30801,EA,SEM Performance Cutting Compound - 1 GAL,SEM
B-47-E,SEM SD30802,EA,SEM Green Wool Double Sided Quick Connect 8.5in,SEM
B-47-E,SEM SD30813,PK,"SEM Green Foam 3in, 4/Pack",SEM
B-47-E,SEM SD30901,EA,SEM Performance Finishing Polish -1 GAL,SEM
B-47-F,,,,
B-47-G,,,,
B-47-H,,,,
B-48-A,,,,
B-48-B,IMP 556206,3.6LTR,IMP MM 270 TRANS RED AMER ,Imperium
B-48-B,IMP 556206,CS,IMP MM 270 TRANS RED AMER ,Imperium
B-48-B,IMP 556219,3.6LTR,IMP MM 540 TRANS YELLOWISH GREEN AMER ,Imperium
B-48-B,IMP 556219,CS,IMP MM 540 TRANS YELLOWISH GREEN AMER ,Imperium
B-48-C,IMP 556221,3.6LTR,IMP MM 670 BLUE RUBIN II AMER ,Imperium
B-48-C,IMP 556221,CS,IMP MM 670 BLUE RUBIN II AMER ,Imperium
B-48-C,IMP 556224,3.6LTR,IMP MM 671 TRANS VIOLET BLUE AMER ,Imperium
B-48-C,IMP 556224,CS,IMP MM 671 TRANS VIOLET BLUE AMER ,Imperium
B-48-D,IMP 556195,3.6LTR,IMP MM 810D FINE ALUMINUM AMER 3.6L,Imperium
B-48-D,IMP 556195,CS,IMP MM 810D FINE ALUMINUM AMER 3.6L,Imperium
B-48-D,IMP 556199,3.6LTR,IMP MM 810H MEDIUM-FINE ALUMINUM AMER ,Imperium
B-48-D,IMP 556199,CS,IMP MM 810H MEDIUM-FINE ALUMINUM AMER ,Imperium
B-48-D,IMP 556226,3.6LTR,IMP MM 720 TRANS RED VIOLET AMER ,Imperium
B-48-D,IMP 556226,CS,IMP MM 720 TRANS RED VIOLET AMER ,Imperium
B-48-E,IMP 556200,3.6LTR,IMP MM 810L MEDIUM ALUMINUM AMER ,Imperium
B-48-E,IMP 556200,CS,IMP MM 810L MEDIUM ALUMINUM AMER ,Imperium
B-48-F,IMP 556197,3.6LTR,IMP MM 810P BRIGHT ALUMINUM AMER ,Imperium
B-48-F,IMP 556197,CS,IMP MM 810P BRIGHT ALUMINUM AMER ,Imperium
B-48-G,,,,
B-48-H,,,,
B-49-A,,,,
B-49-B,SEM SM0001,RL,SEM Performance Edge Foam Tape,SEM
B-49-B,SEM SM0002,RL,SEM Multi-Purpose Foam Masking Tape,SEM
B-49-C,SEM SA1080,RL,"SEM 2.75""x33.5' Perf-Roll Grip Multihole 80, 1/Rol",SEM
B-49-C,SEM SA1120,RL,"SEM 2.75""x33.5' Perf-Roll Grip Multihole 120, 1/Ro",SEM
B-49-C,SEM SM0008,EA,CLOTH PROTECTION TAPE ,SEM
B-49-C,SEM SM0009,RL,"SEM Blue Fine Line Masking Tape .12"" x 108'",SEM
B-49-C,SEM SM0010,RL,"SEM Blue Fine Line Masking Tape .24"" x 108'",SEM
B-49-C,SEM SM0011,RL,"SEM Blue Fine Line Masking Tape .47"" x 108'",SEM
B-49-C,SEM SM0014,RL,SEM Blue Premium Film Perforated Trim Tape,SEM
B-49-D,SEM SA1180,RL,"SEM 2.75""x33.5' Perf-Roll Grip Multihole 180, 1/Ro",SEM
B-49-D,SEM SA1220,RL,"SEM 2.75""x33.5' Perf-Roll Grip Multihole 220, 1/Ro",SEM
B-49-D,SEM SA1240,RL,"SEM 2.75""x33.5' Perf-Roll Grip Multihole 240, 1/Ro",SEM
B-49-D,SEM SA1320,RL,"SEM 2.75""x33.5' Perf-Roll Grip Multihole 320, 1/Ro",SEM
B-49-D,SEM SA1400,RL,"SEM 2.75""x33.5' Perf-Roll Grip Multihole 400, 1/Ro",SEM
B-49-D,SEM SA3080,BX,"SEM 3"" Grip Multihole 80, 50 Discs/Box",SEM
B-49-D,SEM SA3120,BX,"SEM 3"" Grip Multihole 120, 50 Discs/Box",SEM
B-49-D,SEM SA3180,BX,"SEM 3"" Grip Multihole 180, 50 Discs/Box",SEM
B-49-D,SEM SA3220,BX,"SEM 3"" Grip Multihole 220, 50 Discs/Box",SEM
B-49-E,SEM SA31500,BX,"SEM 3"" Grip Multihole 1500, 50 Discs/Box",SEM
B-49-E,SEM SA32000,BX,"SEM 3"" Grip Multihole 2000, 50 Discs/Box",SEM
B-49-E,SEM SA3240,BX,"SEM 3"" Grip Multihole 240, 50 Discs/Box",SEM
B-49-E,SEM SA3320,BX,"SEM 3"" Grip Multihole 320, 50 Discs/Box",SEM
B-49-E,SEM SA6080,BX,"SEM 6"" Grip Multihole 80, 50 Discs/Box",SEM
B-49-E,SEM SA61000,BX,"SEM 6"" Grip Multihole 1000, 50 Discs/Box",SEM
B-49-E,SEM SA6120,BX,"SEM 6"" Grip Multihole 120, 50 Discs/Box",SEM
B-49-E,SEM SA6180,BX,"SEM 6"" Grip Multihole 180, 50 Discs/Box",SEM
B-49-E,SEM SA6220,BX,"SEM 6"" Grip Multihole 220, 50 Discs/Box",SEM
B-49-E,SEM SA6320,BX,"SEM 6"" Grip Multihole 320, 50 Discs/Box",SEM
B-49-F,SEM SA350CG,BX,"SEMQlock-R 3in Coarse, 25/Box",SEM
B-49-F,SEM SA62000,BX,"SEM 6"" Grip Multihole 2000, 50 Discs/Box",SEM
B-49-F,SEM SA63000S,BX,"SEM 6"" Grip Foam 3000, 15 Discs/Box",SEM
B-49-F,SEM SA6400,BX,"SEM 6"" Grip Multihole 400, 50 Discs/Box",SEM
B-49-F,SEM SA6600,BX,"SEM 6"" Grip Multihole 600, 50 Discs/Box",SEM
B-49-F,SEM SA6800,BX,"SEM 6"" Grip Multihole 800, 50 Discs/Box",SEM
B-49-G,SEM SA12060,BX,"SEM 1/2in x 18in 60 Grit, 10/Box",SEM
B-49-G,SEM SA12080,BX,"SEM 1/2in x 18in 80 Grit, 10/Box",SEM
B-49-G,SEM SA120CG,BX,"SEM 1/2in x 18in Coarse Grit, 10/Box",SEM
B-49-G,SEM SA120MM,BX,"SEM 1/2in x 18in Medium Grit, 10/Box",SEM
B-49-G,SEM SA25050,BX,"SEM 2in 50 grit quicklock grinding disc, 25/Box",SEM
B-49-G,SEM SA35050,BX,"SEM 3in 50 grit quicklock grinding disc, 25/Box",SEM
B-49-G,SEM SA38060,PK,"SEM 3/8in x 13in 60 Grit, 10/Pack",SEM
B-49-G,SEM SA38080,PK,"SEM 3/8 in x 13in 80 Grit, 10/Pack",SEM
B-49-G,SEM SA40020,BX,"SEM 4in Strip-it Wheel, 5/Box",SEM
B-49-H,,,,
C-01-G,,,,
C-01-H,,,,
C-02-G,,,,
C-02-H,,,,
C-03-G,,,,
C-03-H,,,,
C-04-G,,,,
C-04-H,,,,
C-05-G,,,,
C-05-H,,,,
C-06-H,,,,
C-07-G,,,,
C-07-H,,,,
C-08-G,,,,
C-08-H,,,,
C-09-G,,,,
C-09-H,,,,
C-10-G,,,,
C-10-H,,,,
C-11-G,,,,
C-11-H,,,,
C-12-G,,,,
C-12-H,,,,
C-13-G,,,,
C-13-H,,,,
C-14-G,,,,
C-14-H,,,,
C-15-G,,,,
C-15-H,,,,
C-16-G,,,,
C-16-H,,,,
C-17-G,,,,
C-18-G,,,,
C-18-H,,,,
C-19-G,,,,
C-19-H,,,,
C-20-G,SON E-4584,RL,SONTARA MAINTENANCE WIPE,SONTARA
C-20-H,,,,
C-21-H,,,,
C-22-G,,,,
C-22-H,,,,
C-23-G,,,,
C-23-H,,,,
C-24-G,,,,
C-24-H,,,,
C-25-G,,,,
C-25-H,,,,
C-26-F,,,,
C-26-G,,,,
C-26-H,,,,
C-27-F,AXA 766A SC ,CN,AXALTA 1K TRIM BLACK SATIN ,Axalta Coating Systems LLC
C-27-F,AXA 790 SC,CN,BLENDER,Axalta Coating Systems LLC
C-27-F,AXA 790 SC,CS,BLENDER,Axalta Coating Systems LLC
C-27-G,,,,
C-27-H,,,,
C-28-G,,,,
C-28-H,,,,
C-29-G,,,,
C-29-H,,,,
C-30-G,,,,
C-30-H,,,,
C-31-G,,,,
C-31-H,,,,
C-32-G,,,,
C-33-D,SPI MB515/HL,HL,Permacron Mixing Color 293 Spec Fine Silver,SPIES HECKER
C-33-D,SPI MB516/LTR,LTR,Permacron Mixing Color 293 Micro Silver,SPIES HECKER
C-33-D,SPI MB517/HL,HL,Permacron Mixing Color 293 Spec Crs Silver ,SPIES HECKER
C-33-D,SPI MB518/3.5LTR,3.5LTR,Permacron Mixing Color 293 Fine Silver,SPIES HECKER
C-33-D,SPI MB520/LTR,LTR,Permacron Mixing Color 293 Transparent Purple,SPIES HECKER
C-33-D,SPI MB521/LTR,LTR,Permacron Mixing Color 293 Yellow,SPIES HECKER
C-33-D,SPI MB522/LTR,LTR,Permacron Mixing Color 293 Transparent Emerald,SPIES HECKER
